_id,objectid_1,objectid,created_user,created_date,last_edited_user,last_edited_date,slope25,shape_are,shape_len,shape_area,shape_length
230636,692,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,13651.4914550781,1081.33500456341
230637,693,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,16871.46875,1320.75229718267
230638,694,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,206862.231201172,10922.9777656779
230639,695,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,22957.9935913086,1909.11244835695
230640,696,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,10457.776550293,1479.75600909018
230641,697,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,211352.417541504,9988.45613405983
230642,698,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,226464.222717285,17263.1377789771
230643,699,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,17130.5687255859,1514.19852667793
230644,700,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,272944.340454102,11275.6501220246
230645,701,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,657923.082458496,29953.4256818087
230646,702,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,506625.156555176,22309.4681800604
230647,703,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,222332.193664551,12932.8704010323
230648,704,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,475611.244628906,16175.0175154855
230649,705,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,463896.31628418,15679.4306882163
